tools2.xlsx
techname	tl1_description	tl2_description	tl3_description	tl4_description	link	displaytext	accepted	R	TP	MT	AR	U	MDL	RA	RoTech	LS	RoThink	EoST	EF	RTE	DLoI	RaAoC
IXL	Adapting to Student Needs The goal-based learning system can intelligently learn how a student is struggling so as to offer adaptive skills practices to help them better progress toward learning goals.  PreK - Grade 12.  Math, Language Arts, Science, Social Studies, Spanish.  BASIS owns licenses for each school. 		IXL, at its most basic, is a targeted learning tool. It offers experiences for students, tailored to their age group by specific subject and topic. By offering analytics and recommendations, it is able to help support teaching and learning with a very focused outcome. 		https://uk.ixl.com/resources/videos	Videos - from IXL	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
WEEBLY	Weebly is a free, easy-to-use site builder. It lets you create and publish attractive, sites, blogs, and online stores.  Great for individual or group work. For any subject area. Some of these tools can help give you insight into students' lives and thinking, helping you build those positive relationships. Needs VPN.				https://www.memphis.edu/lead/pdfs/weebly-guide.pdf	Manual	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHET	PhET provides free, fun, interactive, research-based science and mathematics simulations for grades K-12 and college. To help students visually comprehend concepts, PhET simulations animate what is invisible to the eye through the use of graphics and intuitive controls such as click-and-drag manipulations, sliders and radio buttons. Can be modified to address student questions or meet student needs. 				https://www.youtube.com/watch?v=8EQIF1HAWw8	Video Tutorial	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ZOOM	Use Zoom breakout rooms to differentiate instruction.  (Please note: Zoom is currently unavailable in China except through a VPN. Please be careful using this - ensure all students will have access!  Consider using Zhumu. Info below.)	Group work can be facilitated by using the Breakout Rooms in Zoom.			https://www.youtube.com/watch?v=6KwrsIBjtkY&list=PLUoKm_hdjVWa15hhrfqwzOxAQj8MRvMvY&index=18	2-minute video on how to setup breakout rooms, Educational focus, not business	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0
ZHUMU	Zoom suspended direct-sale in China.They have shifted to a partner-only model, and Zhumu is one of the partners. So you can see Zhumu as a Chinese version of Zoom.	Zoom suspended direct-sale in China.They have shifted to a partner-only model, and Zhumu is one of the partners. So you can see Zhumu as a Chinese version of Zoom.			https://www.zhumu.com/	Website for download	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
NEARPOD	Nearpod is a website that lets teachers create slide-based learning resources that are interactive for students. It also provides insight into student understanding through interactive lessons, videos, games, and activities.			Nearpod is an online tool that allows teachers and students to use slide-based tool to present content.	https://nearpod.com/blog/beginners-guide-to-nearpod/	Manual by Nearpod. Short read, with quick steps to get you started	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
OXFORD LEARNER'S DICTIONARY				The Oxford Learner's Dictionary of Academic English (OLDAE) focuses on words and phrases used in academic writing, and helps you to use them in your own academic written work. 	https://www.oxfordlearnersdictionaries.com/	Link	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BRITANNICA				From Britannica, an online encyclopedia resource for kids in grades K-12 with safe, fact-checked, age-appropriate content for homework help and learning.	https://kids.britannica.com/	Link	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GIMKIT	​Gimkit is a classroom game-show platform where students compete by answering questions on their electronic devices. Instead of earning points, students earn virtual currency, which they can "invest" during the game to boost their score. Teachers check students' understanding and adjust their teaching as needed. Similar to Kahoot.				https://teachers.tech/how-to-use-gimkit/	Manual - 6 minute read	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLASS DOJO			Class DoJo has many features, but for this domain, it enables teachers to record feedback on student skills and create a portfolio of students' work.	Class Dojo is an online behavior management system intended to foster positive student behaviors and classroom culture. Students earn 'Dojo Points' based on their classroom conduct. Teachers use Class Dojo to keep parents up to date on student progress and classroom happenings.	https://www.classdojo.com/resources/	Class Dojo Manual	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ONENOTE			OneNote, an electronic notebook that is part of the Microsoft Teams package, is a perfect way for students to write about all they have learned or to justify their opinions or thinking.  By default, the notebook is public. If you want the notebook to be for each individual student, or for specific groups of students, create a private channel for each student or group  and add the notebook to that private channel. 		https://support.microsoft.com/en-us/office/add-a-onenote-notebook-to-teams-0ec78cc3-ba3b-4279-a88e-aa40af9865c2	OneNote with Teams	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
